id_establecimiento,codigo_localidad,demanda_total,M_t,s_j,delta_j
111001012483,10,1713.0,68328.42105263159,0.025070094897707663,-0.6903473079556686
111001012530,16,1636.0,20686.315789473687,0.07908609810706288,0.4585141030405935
111001012556,16,662.0,20686.315789473687,0.03200183187461836,-0.4462298581850903
111001012602,15,2586.0,12265.12585812357,0.21084170108920755,1.4390846146785017
111001012611,18,1911.0,56001.05263157895,0.03412435856468864,-0.38201154873884224
111001012815,18,1318.0,56001.05263157895,0.023535271893385463,-0.7535227779166629
111001012963,16,1740.0,20686.315789473687,0.08411357622633828,0.520144978086476
111001012971,18,897.0,56001.05263157895,0.0160175560609763,-1.138337630920319
111001013102,08,2673.0,118926.74641148325,0.022476020581202936,-0.7995740164817398
111001013129,08,2928.0,118926.74641148325,0.02462019762879244,-0.7084558575394566
111001013153,08,3261.0,118926.74641148325,0.02742024059682109,-0.6007415568313399
111001013161,08,3006.0,118926.74641148325,0.025276063549231585,-0.6821651623077392
111001013170,08,2275.0,118926.74641148325,0.019129422679475,-0.9607954012356079
111001013242,03,1665.0,10369.473684210527,0.16056745508070247,1.1666911297253053
111001013293,10,1078.0,68328.42105263159,0.015776743899433076,-1.153486054810846
111001013323,17,1644.0,2930.5263157894738,0.5609913793103448,2.4176825333282554
111001013374,17,1140.0,2930.5263157894738,0.38900862068965514,2.051578499100671
111001013676,07,4601.0,115661.05263157895,0.039780028759169264,-0.22865800904709443
111001013811,18,2873.0,56001.05263157895,0.05130260709385162,0.025718566000174192
111001013820,05,1541.0,67218.94736842105,0.022925083779636066,-0.7797913327825432
111001013935,05,1012.0,67218.94736842105,0.015055278900059506,-1.200294318255248
111001014001,14,1324.0,12340.350877192983,0.10729030423656526,0.7635152788634754
111001014028,18,508.0,56001.05263157895,0.009071258059059041,-1.706912045400633
111001014109,07,3971.0,115661.05263157895,0.03433307850525128,-0.37591372807131185
111001014168,04,1789.0,51416.84210526316,0.034794046595422345,-0.36257670812687337
111001014176,04,2143.0,51416.84210526316,0.04167895016992179,-0.18202679616201545
111001014206,06,2152.0,33714.73684210527,0.063829654375722,0.24419487906285386
111001014214,06,2953.0,33714.73684210527,0.08758781104623933,0.5606188395251013
111001014290,08,2115.0,118926.74641148325,0.017784056688830607,-1.0337206411402806
111001014346,09,2214.0,29136.84210526316,0.07598627167630057,0.4185296827034164
111001014451,04,635.0,51416.84210526316,0.012350038897760308,-1.398363792742901
111001014486,19,2583.0,100641.05263157895,0.025665470823876414,-0.6668764646055214
111001014524,19,1855.0,100641.05263157895,0.018431842190588753,-0.9979432826598265
111001014591,18,1874.0,56001.05263157895,0.03346365669818237,-0.401563030180748
111001014630,15,947.0,12265.12585812357,0.07721078535633392,0.4345161485327771
111001014664,18,1823.0,56001.05263157895,0.03255295953083589,-0.4291547183004525
111001014745,16,467.0,20686.315789473687,0.022575310400976996,-0.7951661564532015
111001014826,16,1237.0,20686.315789473687,0.059797984937919796,0.17894895827038937
111001014869,16,662.0,20686.315789473687,0.03200183187461836,-0.4462298581850903
111001014958,18,842.0,56001.05263157895,0.01503543166481833,-1.2016134787367885
111001014974,08,1219.0,118926.74641148325,0.01025000714122199,-1.5847446031393875
111001015172,18,1721.0,56001.05263157895,0.03073156519614293,-0.486732696767576
111001015458,10,1999.0,68328.42105263159,0.029255761646536847,-0.535946471779388
111001015598,08,2631.0,118926.74641148325,0.022122862008658782,-0.8154114515803661
111001015601,08,2294.0,118926.74641148325,0.019289184890864022,-0.9524784349313431
111001015733,18,1208.0,56001.05263157895,0.02157102310106953,-0.840672114484355
111001015814,10,2014.0,68328.42105263159,0.029475289622874042,-0.5284707330012806
111001015903,04,1590.0,51416.84210526316,0.03092371944478565,-0.4804994964213152
111001015911,04,3348.0,51416.84210526316,0.06511485075543545,0.2641296399737736
111001016004,04,964.0,51416.84210526316,0.018748720468410925,-0.9808974970250466
111001016039,05,1795.0,67218.94736842105,0.026703780262457327,-0.6272178671802799
111001016071,08,2563.0,118926.74641148325,0.021551081462634913,-0.8415970062565878
111001016098,08,902.0,118926.74641148325,0.00758450077225778,-1.8859162125580355
111001016101,08,1483.0,118926.74641148325,0.012469861025785242,-1.3887083904827269
111001016136,08,1693.0,118926.74641148325,0.014235653888506013,-1.2562733504875232
111001016250,14,951.0,12340.350877192983,0.07706425931191356,0.432616604911912
111001016292,08,1915.0,118926.74641148325,0.016102349200525112,-1.1330578310059125
111001016314,02,1007.0,3673.684210526316,0.27411174785100284,1.7015128566885296
111001016772,14,1305.0,12340.350877192983,0.10575063974978675,0.7490608621233159
111001017795,10,1781.0,68328.42105263159,0.02606528839043628,-0.6514185229901268
