COD_UPZ_GRUPO,n_hogares_muestra,poblacion_expandida,tasa_pobreza_monetaria,tasa_pobreza_extrema,tasa_ipm,ingreso_percapita_promedio,capacidad_pago_promedio,tamano_hogar_promedio,gasto_educ_promedio,tasa_deficit_cuantitativo,tasa_deficit_cualitativo,tasa_deficit_habitacional,pct_estrato_1,pct_estrato_2,pct_estrato_3,pct_estrato_4,pct_estrato_5,pct_estrato_6
024,2414,83090.9999983,0.08765426968563397,0.041000741727379636,0.015128462667746425,3336694.3708129125,0.03759935631011685,3.210978067590457,1494185.820978188,0.0,0.05228035891719773,0.05228035891719773,0.014040443642799686,0.011023500914885366,0.22013083207175535,0.12849464421680376,0.5568065357661669,0.06765147764156175
025,2265,45216.0000056,0.0549408136189033,0.027703713850072084,0.012399317638237877,3231226.191453756,0.015885551800491886,3.153935597035075,1013371.1795132667,0.0,0.02935725126140303,0.02935725126140303,0.0,0.0,0.13412765233653762,0.8165314216898315,0.038293577085225496,0.009863658031333235
026,2278,100930.0000018,0.26953530690295097,0.10104844912234334,0.036725499110610266,1186126.366683503,0.2239212238293564,3.368175820974312,317577.5411351805,0.0013346152224075862,0.09428919779679262,0.0956238130192002,0.0025422399444706622,0.003488443869946704,0.9314214547896903,0.06254786139589234,0.0,0.0
027,2347,181377.9999961,0.21019493076238444,0.05229496543849833,0.032099177767563804,1248597.313165178,0.15789570815543116,3.4033946989683046,480968.98612228886,0.0016685693094339305,0.06925966722022578,0.07092823652965971,0.0,0.3384139123081069,0.6175974522109,0.04398863548099304,0.0,0.0
028,2382,288983.99999599997,0.39372393871312916,0.10743661462236578,0.06052787064142691,736885.8395595187,0.35341762880994687,3.525641986305134,229243.80352093693,0.002093437896244684,0.1305752875097663,0.13266872540601102,0.009435035731520573,0.6161685875324056,0.3631913363191484,0.0,0.0,0.0
029,2166,110558.9999976,0.2692590366016898,0.0975325126098651,0.03284968639530784,931557.4989917966,0.21361297955401795,3.338568307222501,241862.34593798922,0.007747208602814727,0.07999385050327866,0.08774105910609338,0.01795324497366191,0.31938856027882423,0.6621872301376571,0.00047096460985655007,0.0,0.0
030,2323,128077.9999945,0.21316985174169206,0.08771359851404946,0.019783092531182614,1221231.8086073499,0.12322486766484281,3.322991165188217,371577.38622723555,0.0,0.06430230446644751,0.06430230446644751,0.0,0.007169517885502838,0.9726107268441838,0.01695663945324928,0.0,0.0032631158170641885
032,2576,103547.9999957,0.5328157281076517,0.17804593568360177,0.067906413079847,549847.9861771726,0.5201909468810293,3.6905228238495114,137818.05261490447,0.03418798144094534,0.16189819748325568,0.19608617892420108,0.12753096865848096,0.8581344944353343,0.008365208447637525,0.0,0.0,0.0
033,2142,44028.000002,0.29226762931578687,0.10489467919937791,0.038328641635398904,1027486.805516976,0.1922017177186244,3.490771427982612,308150.2784604551,0.0035378109383329788,0.08442908014288956,0.08796689108122255,0.0,0.284426128775578,0.7155738712244221,0.0,0.0,0.0
034,2665,80466.0000003,0.4363819277268546,0.13742584082294104,0.0554644456277603,664284.9107945563,0.4244786661940777,3.780272207728306,225987.00528337804,0.012280523673306934,0.14209601548054296,0.15437653915384994,0.0010078821912322922,0.6878733674420704,0.3111187503666972,0.0,0.0,0.0
035,2246,26365.0000008,0.28021771957427755,0.08270112786018732,0.052962636421681385,1228521.5965978857,0.16232710671989906,3.5069789351752103,411790.46715159895,0.01190825182971642,0.09780448826177722,0.10971274009149365,0.0,0.22026560316797986,0.7709651452032328,0.004401254405328237,0.0,0.0
036,2185,48723.0000061,0.3125623057897372,0.10531149400811936,0.027385060444409234,979518.9655288475,0.1711706012325977,3.1911789136143875,291290.0627208787,0.0050929432910316085,0.06732717162303849,0.0724201149140701,0.0,0.029155738302693798,0.9700897110744915,0.0,0.0,0.0
037,2571,44107.0000027,0.340840705275347,0.1519588276189655,0.048457343690778455,980293.8746904635,0.18059959867622785,3.165869700509038,281465.307176558,0.034444295089373585,0.1517103768628649,0.18615467195223848,0.0,0.01173047089279089,0.9882695291072092,0.0,0.0,0.0
038,2145,56056.9999978,0.2210592286473827,0.0629065077998893,0.04157518796745216,1145227.1597134708,0.129318522705184,3.6959190017612618,389904.6851137919,0.005735633241390342,0.12190532481881283,0.12764095806020317,0.0,0.004999958413953653,0.9935356587684997,0.0,0.0,0.0
039,2265,92517.99999850002,0.4498804552776196,0.17163533200088035,0.05994850575228519,843427.0634521615,0.3456105222769451,3.2499598998916417,230991.5177320262,0.006538344178536149,0.14873644958951882,0.15527479376805498,0.0017364461694222167,0.001488730928059762,0.9963005864490634,0.0,0.0,0.0
040,2216,102337.999998,0.2689251836320609,0.1492230603802932,0.03216055329754657,1197049.8054420657,0.14485836851403894,3.44794783577455,354259.4258766024,0.0032629278812027385,0.05248074205480821,0.05574366993601094,0.0012943872266664267,0.0016206459800195557,0.997084966793314,0.0,0.0,0.0
041,2264,59388.9999982,0.21965264471190585,0.07233423693495769,0.021314455866210343,1066974.7093374557,0.12008121504009406,3.443232657094711,332788.8570889279,0.008346001448332568,0.05164667385362549,0.05999267530195806,0.0,0.0050300839247849624,0.994969916075215,0.0,0.0,0.0
042,2196,139490.0000064,0.3456416416631149,0.15031185129212135,0.03636387219920619,842886.8720213596,0.2543474672254081,3.158857941575621,260612.53234385408,0.005451572369812244,0.1344675835245495,0.1399191558943617,0.0,0.5468256713047553,0.4531743286952447,0.0,0.0,0.0
043,2756,73680.0000025,0.23395105301459176,0.08495468492111309,0.038597428695758766,1176511.5528156538,0.1494093974514994,3.6055347431458493,362000.61566031276,0.0,0.11999704615363743,0.11999704615363743,0.0006446625624102652,0.0,0.9993553374375896,0.0,0.0,0.0
044,2293,78905.0000038,0.19138044360272166,0.060566603202203244,0.03059303367319874,1418709.423643221,0.10569399691652447,3.2000151191894046,460748.5768046597,0.002565652499718022,0.04535970744094332,0.04792535994066135,0.001081075578174918,0.20892071251005764,0.691704162941151,0.09829404897061635,0.0,0.0
045,2469,89478.99999850002,0.3244571207253845,0.0858933149848438,0.04126765319753127,878070.4397056228,0.24472151803067846,3.5037879078024523,248400.2587333203,0.010927202968477415,0.11601627265809879,0.1269434756265762,0.013299669396394116,0.28118569886478134,0.7055146317388243,0.0,0.0,0.0
047,2378,93575.0000042,0.26720831431341413,0.07504449510429936,0.0337154060310809,926690.9510180312,0.1664851532866766,3.513604109073394,259520.21119855993,0.004055076270189352,0.07443667131485296,0.0784917475850423,0.001035223955069752,0.007443044535065341,0.9915217315098649,0.0,0.0,0.0
048,2432,140406.00000220002,0.33929723211510576,0.1338840227747066,0.0317013659482519,896426.5836674817,0.2768039610557314,3.5291548518092943,246574.67214119676,0.006718366073994128,0.09356753425704137,0.1002859003310355,0.011486510047823667,0.2780580974943255,0.7104553924578507,0.0,0.0,0.0
049,2785,36276.999997399995,0.36405045153531257,0.13856942040026132,0.059295470718476406,806264.4264234471,0.3251937472019601,3.8134009469447543,236837.95138867962,0.018247676176294733,0.13131140263642008,0.14955907881271482,0.0,0.6503859848469004,0.34961401515309976,0.0,0.0,0.0
050,2500,96156.0000033,0.5221184917444258,0.17455778838890929,0.0630786075241466,557986.0836562533,0.5453921897406319,3.615804038094012,150029.1905653152,0.007972271930755144,0.20705232116161995,0.21502459309237512,0.035853985153102064,0.9641460148468979,0.0,0.0,0.0,0.0
051,2692,77733.99999669999,0.5265376983345458,0.17565666222090293,0.06736178803640999,552249.0706601833,0.5524742211712143,3.6592377897750734,168187.30175970253,0.005163611989824787,0.18674045249075366,0.19190406448057845,0.19496129335610382,0.8018119887339643,0.0,0.0,0.0,0.0
052,2154,19629.0000075,0.7487849338878249,0.3638983283545144,0.17880484632222546,342105.1816187633,0.754926642046872,3.7526292322408326,64628.117806994414,0.11897533264087244,0.2826258941708852,0.4016012268117577,0.9406263803171484,0.007000186237072627,0.0016351785005724265,0.0,0.0,0.0
053,2174,47442.999997499996,0.5827803477658865,0.22344026388631832,0.10403731781422114,555562.313298087,0.4649072076294137,3.0968267260932505,112069.29148232724,0.016075805396795935,0.13503066570490013,0.1511064711016961,0.0032091840188863048,0.7094701243634188,0.28732069161769497,0.0,0.0,0.0
